Year,Upper_Colorado_Basin,Gunnison_Basin,Yampa_Basin,White_Basin,South_West_Basin
1908,8108354,2430179,1698372,597167,820567
1909,4713185,2152372,1407402,552658,820567
1910,6230087,3707460,1639704,575457,1137821
1911,8359910,4038722,2031026,737700,996539
1912,5214390,2649793,1268585,509408,698890
1913,8961387,3262250,1795329,630349,1215443
1914,4494044,2447715,1191220,483909,995025
1915,6467346,3360308,1940755,633738,1503216
1916,7997097,3409822,3124066,747376,1187178
1917,7152511,2589339,1918740,630160,562744
1918,4647693,2228215,1444268,509424,793599
1919,7540033,3582118,2353576,730927,1275010
1920,7407334,3317472,2659188,878282,1379328
1921,6080722,2835260,1701337,635135,1302493
1922,6896761,2993129,2055397,632007,1101784
1923,6041937,2500891,1458620,566637,953660
1924,5144710,2297418,1502161,609095,802265
1925,6423231,2535299,1706682,654345,1162040
1926,6562055,3003191,1992427,642114,1048733
1927,6821270,3025739,2227750,765846,889131
1928,7498422,3622298,2953417,885014,1006030
1929,5660466,2641571,1592117,637314,800210
1930,3393812,1303834,1261313,506032,362914
1931,6409296,2848839,2059052,701355,1167154
1932,5435323,2017641,1595497,635593,505059
1933,3070746,1120495,644646,380199,316774
1934,4692490,1976567,1371796,509723,726756
1935,6134540,2336286,1699498,568189,829605
1936,4481625,2035574,1435272,469181,947540
1937,6910389,3084588,1826712,648433,1082205
1938,4778149,1914348,1403856,515986,558655
1939,3669927,1543871,1297860,502903,632413
1940,5212386,2930516,1502881,602772,1528976
1941,6293724,3441931,1758968,627719,1775808
1942,5078197,2369668,1384171,521678,785093
1943,4654802,2732565,1324861,544412,1182807
1944,5105043,2416498,1883070,610498,852515
1945,4281294,1819234,1317165,507931,491069
1946,6169083,2478568,1965060,711038,719945
1947,5734278,2940476,1764085,611899,1042273
1948,5750408,2701653,1955052,678398,1021459
1949,4614474,1869875,1450484,576064,565342
1950,4918310,1694479,1543377,590545,310769
1951,7837021,3218451,2133182,765589,1286503
1952,4601067,1808889,1289407,607205,452325
1953,2747852,1158425,846402,436409,353390
1954,3815603,1547101,1199370,486980,547590
1955,4286495,1609869,1568287,540605,460538
1956,8655433,3861680,2623861,822704,1052772
1957,6255006,2922852,1876734,707357,1116569
1958,3951754,1493003,1263605,539685,395314
1959,4790590,1963278,1495479,530875,758915
1960,3677481,1580681,988306,448489,552843
1961,7244175,2812350,2175371,725272,799674
1962,3307716,1423204,999204,459454,476978
1963,4122297,1953042,1333961,529973,513915
1964,7097081,3177198,1963316,649845,903886
1965,3645759,1896552,1098319,446736,693713
1966,3960980,1722358,1389130,471616,416748
1967,4854819,2206573,1732015,550038,659924
1968,5343884,2524145,1647455,562475,821471
1969,6605101,2962157,2027349,647678,728584
1970,6339578,2566517,2172304,637718,640297
1971,4366737,1692261,1407448,544704,457006
1972,6485075,2930511,1837492,641436,1234474
1973,5337329,2101774,2129518,605921,567957
1974,5883770,2558498,1858955,650947,974071
1975,4290022,1735941,1287386,548870,573319
1976,2482750,799467,617663,288400,220061
1977,5425570,2527304,2218309,594582,834027
1978,6914536,2965875,1980667,607471,1034802
1979,6302250,2847664,1919534,585066,926623
1980,3525871,1202481,902599,389110,377046
1981,5931046,2731062,2064036,625505,918133
1982,9178226,3707413,2602146,867473,1270808
1983,10769564,4371607,3270531,1016973,1267304
1984,8766261,3716294,2481839,899908,1298874
1985,8691327,3469363,2622836,826181,1209173
1986,6004252,3000140,1293744,576919,1175396
1987,4516226,1719750,1496698,546403,585394
1988,3840940,1649636,1014808,490676,687392
1989,3292675,1331124,1070617,396445,347523
1990,4704980,2109966,1286519,503344,647076
1991,4357570,1985633,935284,435451,732429
1992,7524881,3429768,1955478,673656,1244615
1993,4300710,1882075,1058080,415613,562193
1994,8428830,3950652,2233623,743124,1124346
1995,6548004,2487579,2321370,660216,481205
1996,8298854,3481396,2548599,757954,1310929
1997,6320549,2538337,2353510,791999,849069
1998,5341061,2355784,1851692,634704,895526
1999,4488893,1818558,1435322,528817,601080
2000,3854249,1784923,1203988,528698,645252
2001,2334556,895755,663349,345696,162966
2002,4209248,1600849,1472256,508437,470236
2003,3345959,1592796,1106731,435205,627554
2004,5763498,2493824,1822855,590762,1116652
2005,5073000,2065747,1586491,633187,490835
2006,4803170,2200445,1258767,474266,829695
2007,7355841,3078908,2108206,637963,973359
2008,6111011,2437372,2041633,610301,789230
2009,4651369,1943203,1747657,538702,682639
2010,8047496,2887303,3425401,867419,656212
2011,3024404,1086317,879642,432161,481449
2012,3566420,1387031,1025800,420401,336360
